combination,iteration,particles,inertia,cognition,social,function,epochs,solution_x,solution_y,fitness,converged
0,0,40,0.5,0.1,1,1,182,0.9999816443196148,0.9999636489390022,3.4988832714079916e-10,False
0,1,40,0.5,0.1,1,1,95,0.9999980118715498,0.9999957443500304,1.1758924316470671e-11,True
0,2,40,0.5,0.1,1,1,74,0.9999994306569648,0.9999988367610301,3.844375715228458e-13,True
0,3,40,0.5,0.1,1,1,56,1.0000117745246655,1.0000233349142926,1.4323075199349283e-10,False
0,4,40,0.5,0.1,1,1,94,1.0000008345951157,1.0000015837068288,1.4273021275761347e-12,True
0,5,40,0.5,0.1,1,1,78,1.0000001479542975,1.000000194775194,1.0446873982950168e-12,True
0,6,40,0.5,0.1,1,1,65,1.0000000231960953,1.0000000477243574,7.155255612833207e-16,True
0,7,40,0.5,0.1,1,1,67,1.0000004106391072,1.0000008135499627,1.7459732409559932e-13,True
0,8,40,0.5,0.1,1,1,219,1.0000022990554778,1.000004506411178,6.126637949671937e-12,True
0,9,40,0.5,0.1,1,1,54,1.0000015137384175,1.0000023703084095,4.547873911901504e-11,True
0,10,40,0.5,0.1,1,1,72,1.0000216903230352,1.0000442386235047,5.440019327209998e-10,False
0,11,40,0.5,0.1,1,1,65,0.9999953355569725,0.9999905430437865,2.3397782638840283e-11,True
0,12,40,0.5,0.1,1,1,60,1.0000052099373076,1.0000104543067596,2.7261817158684145e-11,True
0,13,40,0.5,0.1,1,1,110,1.0000038207843622,1.0000077579551647,1.5952633702322095e-11,True
0,14,40,0.5,0.1,1,1,55,0.9999982332441764,0.999996513687557,3.3441731647660965e-12,True
0,15,40,0.5,0.1,1,1,91,0.9999840949659204,0.9999682844745906,2.538591653264723e-10,False
0,16,40,0.5,0.1,1,1,133,1.0000090669544113,1.0000182419379668,8.337491636776217e-11,True
0,17,40,0.5,0.1,1,1,60,0.9999975505527848,0.999995232581923,7.728237047569296e-12,True
0,18,40,0.5,0.1,1,1,70,1.0000059262621526,1.0000118539862828,3.512078669305823e-11,True
0,19,40,0.5,0.1,1,1,56,0.9999959826170208,0.9999920986165205,1.7918024053232017e-11,True
1,0,40,0.5,0.1,1,2,50,1.0000000990577136,2.999999855492647,3.8957484589154637e-14,True
1,1,40,0.5,0.1,1,2,47,0.999998638811878,3.0000011215095355,3.3404000405729835e-12,True
1,2,40,0.5,0.1,1,2,48,0.9999999178202349,3.0000002956532827,2.764481482710751e-13,True
1,3,40,0.5,0.1,1,2,49,1.0000001245286128,2.999999922816276,3.043085682134978e-14,True
1,4,40,0.5,0.1,1,2,52,1.0000000397037934,2.999999945070606,5.520905204746478e-15,True
1,5,40,0.5,0.1,1,2,49,0.9999999858805703,2.9999998662767444,1.0551110590073531e-13,True
1,6,40,0.5,0.1,1,2,49,0.9999999450055004,2.9999999638838863,3.7533344060341766e-14,True
1,7,40,0.5,0.1,1,2,47,0.9999999382738796,3.000000054436839,6.986017841507512e-15,True
1,8,40,0.5,0.1,1,2,49,0.999999879411585,2.99999941335387,2.359418053879341e-12,True
1,9,40,0.5,0.1,1,2,52,1.0000001230788578,2.9999998057209543,7.317061972092495e-14,True
1,10,40,0.5,0.1,1,2,49,0.9999999786564058,3.00000000033583,2.22096639370269e-15,True
1,11,40,0.5,0.1,1,2,51,0.9999999483585049,3.000000096176021,1.9849967108971048e-14,True
1,12,40,0.5,0.1,1,2,49,0.9999998401719822,2.999999719120751,8.813297279529775e-13,True
1,13,40,0.5,0.1,1,2,48,0.9999998626762193,3.000000211803772,8.590773481785743e-14,True
1,14,40,0.5,0.1,1,2,48,0.9999996851186631,3.0000002464653397,1.786184148164093e-13,True
1,15,40,0.5,0.1,1,2,49,1.0000000999064014,2.999999792501609,9.934101612000939e-14,True
1,16,40,0.5,0.1,1,2,50,0.9999999599225162,3.0000001341177045,5.4968015872501816e-14,True
1,17,40,0.5,0.1,1,2,51,1.0000001919824903,2.999999731852022,1.3196534069018902e-13,True
1,18,40,0.5,0.1,1,2,52,1.0000002499958374,2.9999998633417455,1.3255502798725587e-13,True
1,19,40,0.5,0.1,1,2,53,1.0000001654322102,2.999999853635591,5.024468071032974e-14,True
2,0,40,0.5,0.2,1,1,145,0.9999998895994333,0.9999998920355154,1.285398940817198e-12,True
2,1,40,0.5,0.2,1,1,60,1.0000026449685622,1.000005277216851,7.01205703309989e-12,True
2,2,40,0.5,0.2,1,1,74,1.0000003245159623,1.0000003694937794,7.919473961700142e-12,True
2,3,40,0.5,0.2,1,1,301,1.0000000989956908,1.0000001793050977,4.4717903726846804e-14,True
2,4,40,0.5,0.2,1,1,104,1.0000027117693295,1.0000055852095084,9.967201480834345e-12,True
2,5,40,0.5,0.2,1,1,154,0.9999999412692809,0.9999998821079492,3.4678403844020386e-15,True
2,6,40,0.5,0.2,1,1,106,0.999999161280562,0.9999984742673467,3.004906753030855e-12,True
2,7,40,0.5,0.2,1,1,68,1.000000574522374,1.0000011366880328,3.4534561462932994e-13,True
2,8,40,0.5,0.2,1,1,129,1.0000077746386178,1.0000157024527727,6.278942878190474e-11,True
2,9,40,0.5,0.2,1,1,92,1.000006728741004,1.000013559002895,4.630568546134588e-11,True
2,10,40,0.5,0.2,1,1,66,1.0000002103201673,1.0000005114066501,8.680861749303125e-13,True
2,11,40,0.5,0.2,1,1,70,0.9999979778100876,0.9999959045967487,4.349632778399879e-12,True
2,12,40,0.5,0.2,1,1,80,1.000000722733059,1.0000014281175946,5.524420125994881e-13,True
2,13,40,0.5,0.2,1,1,244,0.9999956039354002,0.9999912917147901,2.002804139849523e-11,True
