combination,iteration,particles,inertia,cognition,social,function,epochs,solution_x,solution_y,fitness,converged
0,0,10,0.5,1,1,1,803,0.9977747700554022,0.9955481331736852,4.955691467196276e-06,False
0,1,10,0.5,1,1,1,999,4.512736997786165,20.368079518580593,12.340399883120604,False
0,2,10,0.5,1,1,1,803,1.0042188322688559,1.0084641122331577,1.7806026491850253e-05,False
0,3,10,0.5,1,1,1,999,0.9716734070759938,0.9441325792554935,0.0008024235249107408,False
0,4,10,0.5,1,1,1,685,0.9963452723640702,0.9926981736245164,1.3360315248999147e-05,False
0,5,10,0.5,1,1,1,999,-1.7616543737028831,3.1057578463054054,7.627278568772225,False
0,6,10,0.5,1,1,1,999,2.039670351164211,4.163910686726356,1.082250740239813,False
0,7,10,0.5,1,1,1,627,0.9968742299330757,0.9937532165142542,9.772952320705817e-06,False
0,8,10,0.5,1,1,1,999,3.6403369206481027,13.252506478591243,6.971399628269298,False
0,9,10,0.5,1,1,1,999,-4.781059529769628,22.864094458079702,33.423745353267414,False
0,10,10,0.5,1,1,1,999,-3.8391713790742164,14.744213229136124,23.420056043210966,False
0,11,10,0.5,1,1,1,735,0.9952533873559257,0.9905085839898438,2.25732677991178e-05,False
0,12,10,0.5,1,1,1,451,0.9972631948619204,0.9945172986399132,7.517595937701748e-06,False
0,13,10,0.5,1,1,1,999,0.8227740935490904,0.6758398939680574,0.03153386120887684,False
0,14,10,0.5,1,1,1,787,0.9981721750681439,0.9963365264305527,3.353408921844134e-06,False
0,15,10,0.5,1,1,1,668,0.9940730520858616,0.9881438025811334,3.526881432893879e-05,False
0,16,10,0.5,1,1,1,105,0.9985075565351321,0.997008188513395,2.2357633043928663e-06,False
0,17,10,0.5,1,1,1,999,4.8137567423625285,23.17714299059474,14.547130737615525,False
0,18,10,0.5,1,1,1,991,1.004317292581284,1.0086636115150829,1.8649804909991923e-05,False
0,19,10,0.5,1,1,1,817,0.997030625021974,0.9940839325416582,8.836412442127522e-06,False
1,0,10,0.5,1,1,2,50,1.0000018934327906,2.9999991014583762,8.351698514500604e-12,True
1,1,10,0.5,1,1,2,50,1.0000000661641855,2.999999912422708,1.3881566155852342e-14,True
1,2,10,0.5,1,1,2,57,1.0000009529923195,2.999998919175306,2.1417408441333162e-12,True
1,3,10,0.5,1,1,2,52,0.9999986027939626,3.0000015427465727,4.416979888850951e-12,True
1,4,10,0.5,1,1,2,50,1.000001675471222,2.9999961903554775,3.55393779081126e-11,True
1,5,10,0.5,1,1,2,49,0.9999998040482633,3.0000009078239005,2.889589228244579e-12,True
1,6,10,0.5,1,1,2,53,1.0000004610053008,2.9999994303021507,5.843378076426236e-13,True
1,7,10,0.5,1,1,2,53,0.9999998306846427,3.0000004071310284,4.2064853832680135e-13,True
1,8,10,0.5,1,1,2,53,1.000000385900162,2.99999973384384,2.7711254109331284e-13,True
1,9,10,0.5,1,1,2,52,0.9999984200990479,3.000001461919864,4.68897485472648e-12,True
1,10,10,0.5,1,1,2,49,0.9999991012273068,3.0000028407687958,2.3963155160037902e-11,True
1,11,10,0.5,1,1,2,54,0.9999986664634875,3.0000009443200635,3.276017789743364e-12,True
1,12,10,0.5,1,1,2,48,1.0000002216753099,3.000000105817726,4.89344089432546e-13,True
1,13,10,0.5,1,1,2,51,1.0000005131837661,2.999999124257235,1.5560790777839606e-12,True
1,14,10,0.5,1,1,2,50,1.000000095250774,2.9999994944544737,9.380161236871734e-13,True
1,15,10,0.5,1,1,2,55,0.9999974006344912,3.0000013337160882,1.494297347605465e-11,True
1,16,10,0.5,1,1,2,50,0.9999957816149584,3.0000019537759255,4.212583051847901e-11,True
1,17,10,0.5,1,1,2,48,1.0000005615975212,2.9999984252773624,6.90083316691679e-12,True
1,18,10,0.5,1,1,2,53,0.9999997916956589,3.0000002290001295,9.7545020591424e-14,True
1,19,10,0.5,1,1,2,51,1.0000004135953926,2.9999996419916584,3.1159080281914694e-13,True
2,0,20,0.5,1,1,1,772,1.0000001298120564,1.0000002583481618,1.701397942969895e-14,True
2,1,20,0.5,1,1,1,388,1.000017803088029,1.0000355892149044,3.1697979665046096e-10,False
