combination,iteration,particles,inertia,cognition,social,function,epochs,solution_x,solution_y,fitness,converged
0,0,40,0.1,1,1,1,131,0.8514967885777043,0.7246515850087967,0.022068821786573083,False
0,1,40,0.1,1,1,1,156,0.9973223563599428,0.9946470600854387,7.172101026872742e-06,False
0,2,40,0.1,1,1,1,159,-3.6922188779488345,13.638805067404254,22.020918339356456,False
0,3,40,0.1,1,1,1,862,4.307262824301885,18.55467767694984,10.938455955355117,False
0,4,40,0.1,1,1,1,617,1.024251635595624,1.0491358786056952,0.0005883395478912916,False
0,5,40,0.1,1,1,1,677,2.0222586979062562,4.091867334851026,1.045559046091481,False
0,6,40,0.1,1,1,1,126,0.7028233019629495,0.491848176994105,0.088760220324826,False
0,7,40,0.1,1,1,1,999,1.4087280995819065,1.9851224403458794,0.1670955749515048,False
0,8,40,0.1,1,1,1,119,1.0000000007894956,1.000000001570416,6.306565745019295e-19,True
0,9,40,0.1,1,1,1,163,-3.2162407454524717,10.349026820307705,17.779011469382397,False
0,10,40,0.1,1,1,1,999,4.025006961970479,16.202094728646564,9.150866970423072,False
0,11,40,0.1,1,1,1,70,-1.5911472919257819,2.5398283607444343,6.72057075695987,False
0,12,40,0.1,1,1,1,999,3.0643650810309246,9.391714948106463,4.261794069156345,False
0,13,40,0.1,1,1,1,192,4.849294914797909,23.51655088416157,14.817150500096107,False
0,14,40,0.1,1,1,1,554,1.695284540492315,2.876005901233873,0.48382710978306676,False
0,15,40,0.1,1,1,1,45,-0.6408176543823891,0.4209339922505205,2.7028642482823035,False
0,16,40,0.1,1,1,1,144,1.0214247742402516,1.0433235866003652,0.0004590435027810722,False
0,17,40,0.1,1,1,1,999,4.505723995431068,20.304903421132305,12.29122613209484,False
0,18,40,0.1,1,1,1,999,1.8889211012070826,3.5702263054612087,0.7906662120182583,False
0,19,40,0.1,1,1,1,999,3.061148447328509,9.371911353122362,4.248497155515218,False
1,0,40,0.1,1,1,2,23,1.0000000939651932,2.9999999273386777,1.5924544866943016e-14,True
1,1,40,0.1,1,1,2,36,1.0137728124912562,2.9851144036431614,0.0004162244945440386,False
1,2,40,0.1,1,1,2,26,0.9995968517045372,3.000431712012556,3.5216735365646037e-07,False
1,3,40,0.1,1,1,2,27,0.9999996763219184,3.0000004038220234,2.9353193246940984e-13,True
1,4,40,0.1,1,1,2,38,0.9825042909947848,3.019646479842825,0.0007105872645933218,False
