combination,iteration,particles,inertia,cognition,social,function,epochs,solution_x,solution_y,fitness,converged
0,0,40,0.5,1,0.1,1,999,1.052923704258563,1.108615372043484,0.002801027075295027,False
0,1,40,0.5,1,0.1,1,999,1.0346449262105593,1.0706398154871024,0.0012025116862274868,False
0,2,40,0.5,1,0.1,1,999,1.0000000000081302,1.0000000000161613,6.708028540923682e-23,True
0,3,40,0.5,1,0.1,1,999,4.388476585140046,19.261010553723242,11.482295149320839,False
0,4,40,0.5,1,0.1,1,999,3.0284084631109494,9.174288396984116,4.115359333243988,False
0,5,40,0.5,1,0.1,1,999,1.0000000010184242,1.0000000020388424,1.0375855079288054e-18,True
0,6,40,0.5,1,0.1,1,999,1.0000019413935963,1.0000043492385817,2.5526347324102365e-11,True
0,7,40,0.5,1,0.1,1,999,1.0000000000894869,1.000000000179821,8.079694029031719e-21,True
0,8,40,0.5,1,0.1,1,999,2.347141874492892,5.512739671131853,1.81613422685581,False
0,9,40,0.5,1,0.1,1,999,1.0000000000160116,1.0000000000324871,2.7788829385366734e-22,True
0,10,40,0.5,1,0.1,1,999,1.0000000008488044,1.0000000017497457,9.922951163357565e-19,True
0,11,40,0.5,1,0.1,1,999,1.896802225116826,3.5973975874732935,0.8042754917177217,False
0,12,40,0.5,1,0.1,1,999,2.2940582937377547,5.265725886999835,1.6755003770703438,False
0,13,40,0.5,1,0.1,1,999,0.9999999999299785,0.9999999998585807,5.092418219500121e-21,True
0,14,40,0.5,1,0.1,1,999,0.9999999969036879,0.9999999938038922,9.588362180575747e-18,True
0,15,40,0.5,1,0.1,1,999,0.9999999999729855,0.9999999999470969,8.565432446508814e-22,True
0,16,40,0.5,1,0.1,1,999,1.2970860045323702,1.6824973319662877,0.08826051956880603,False
0,17,40,0.5,1,0.1,1,999,1.000000000092019,1.000000000183518,8.494550186876253e-21,True
0,18,40,0.5,1,0.1,1,999,1.0000000000144267,1.0000000000272409,4.68140885109159e-22,True
0,19,40,0.5,1,0.1,1,999,1.0000000000099074,1.0000000000199034,9.894165931047451e-23,True
1,0,40,0.5,1,0.1,2,125,0.9999994054454704,2.9999996409668896,4.119717408824557e-12,True
1,1,40,0.5,1,0.1,2,132,0.9962746906026281,3.003377597574683,2.576970952919917e-05,False
1,2,40,0.5,1,0.1,2,126,0.9999980617636416,3.0000019621141063,7.608932535069228e-12,True
1,3,40,0.5,1,0.1,2,130,1.0002077506602916,2.999807812658081,8.106517876026569e-08,False
1,4,40,0.5,1,0.1,2,133,1.0001034694471502,2.999887445798039,2.3704505952527133e-08,False
1,5,40,0.5,1,0.1,2,127,1.0000001491914048,3.0000004093616037,1.4377608515667958e-12,True
1,6,40,0.5,1,0.1,2,123,1.0000015530860824,2.9999988930091908,4.433509001484007e-12,True
1,7,40,0.5,1,0.1,2,124,1.000000149573252,3.0000002137244506,5.959911808026646e-13,True
1,8,40,0.5,1,0.1,2,126,0.9999998830937729,2.9999999058687354,2.006750521050232e-13,True
1,9,40,0.5,1,0.1,2,126,1.0000195568788346,2.9999730124395514,1.3316600457139371e-09,False
1,10,40,0.5,1,0.1,2,141,0.9692052764719438,3.034001748815295,0.0021455739644397993,False
